CUSTID,TYPEID,TYPENAME,CUSTNAME,ADDR1,ADDR2,CITY,STATE,ZIP,Company,Customer_SK
11,3,State/Local Government,Beverly Equipment,,7581 Quisque Street,Bloomington,HI,88440,TPCW,1
110,1,Commercial,Byron Chemicals,,6831 Donec Street,Salt Lake City,IN,41050,TPCW,2
111,1,Commercial,Beasley,,7800 Nec Road,Idabel,MA,57132,TPCW,3
112,1,Commercial,Processing Equipment Corporation,,29843 Klingon Road,Naperville,IL,60563,TPCW,4
113,3,State/Local Government,Zena Machines,,1277 Hendrerit Avenue,San Juan,WA,07066,TPCW,5
114,3,State/Local Government,The Final Frontier,,528 Curabitur Road,Biddeford,MO,39683,TPCW,6
115,1,Commercial,Merritt Long,,3072 Cursus Avenue,West Haven,WY,83709,TPCW,7
116,4,US Government,Martinez Disposables,,5331 Nunc Avenue,Tucson,DC,79991,TPCW,8
117,3,State/Local Government,Camera Platforms International Incorporation,,5347 Deposed Street,Houston,TX,77244,TPCW,9
118,4,US Government,Cross,,6605 Rhoncus. Avenue,Hopkinsville,NH,25620,TPCW,10
119,2,Education,Firstfed America Bancorp Incorporation,,5656 Settler Street,Ward Prairie,TX,75840,TPCW,11
12,3,State/Local Government,Clio-Hutchinson,,1257 Ac Avenue,Butler,SC,82126,TPCW,12
120,3,State/Local Government,Price Rivers,,2853 Aenean Avenue,Sault Ste. Marie,MS,59316,TPCW,13
121,1,Commercial,Santos LLC.,,9130 Fames Road,Billings,IN,12869,TPCW,14
122,3,State/Local Government,Santiago Processing,,4565 Tempor Avenue,Hanahan,AK,15743,TPCW,15
123,3,State/Local Government,Chemfix Technologies Incorporation,Suite 50,11533 Wonderingly Drive,Pasadena Hills,MO,63121,TPCW,16
124,3,State/Local Government,Chantale-Huffman Incorporation.,,2761 Infinity Street,New Iberia,NH,65327,TPCW,17
125,2,Education,Garrison Works,,3801 Lacus. Road,Reno,WV,46307,TPCW,18
126,3,State/Local Government,Ruby Petty,,3142 Congud Street,Chicago,IL,76404,TPCW,19
127,2,Education,Emerson Electric Co.,,1792 Squash Drive,South Texarkana,TX,75501,TPCW,20
128,1,Commercial,Oleg Jones,,5491 Nec Road,Moraga,NE,82394,TPCW,21
129,2,Education,Genevieve Day,,284-1916 Ac Street,Troy,IN,68914,TPCW,22
13,1,Commercial,YuliChem,,6440 Amet Street,Laguna Woods,KY,53141,TPCW,23
130,3,State/Local Government,Setron,Dept #80,3085 Breakthrough Drive,Hart,MO,64865,TPCW,24
131,4,US Government,Fuentes Incorporation.,,7063 Phasellus Road,Compton,WV,68519,TPCW,25
132,1,Commercial,Mendoza Chem,,4826 Urna. Avenue,Everett,MD,87048,TPCW,26
133,4,US Government,India-Stuart,,1973 At Avenue,Cudahy,CA,76482,TPCW,27
134,3,State/Local Government,Pulitzer Publishing Company,,126 Pathological Circle,Woodbury,NY,11797,TPCW,28
135,4,US Government,Ferdinand Supply,,6979 Quid Street,Nome,DE,58359,TPCW,29
136,2,Education,Charity Incorporation.,,3254 Hendrerit Avenue,Effingham,WY,27502,TPCW,30
137,2,Education,Ronan French,,8773 Feugiat Road,Gary,WA,17387,TPCW,31
138,1,Commercial,Blevins,,2571 Donec Avenue,Winooski,SD,65512,TPCW,32
139,2,Education,Ashton Washington,,7726 Donec Road,Vallejo,MA,01999,TPCW,33
14,2,Education,Austin Burns,,2041 Venenatis Avenue,Alexandria,DC,34440,TPCW,34
140,3,State/Local Government,Gte Corporation,Dept #532,7196 Heaver Lane,Winter Garden,FL,34777,TPCW,35
15,4,US Government,Saint Andrews Golf Corporation,,8068 Substances Street,North Miami,Fl,33261,TPCW,36
16,1,Commercial,Austin Ferrell,,8666 Justo Road,Pullman,PA,55979,TPCW,37
17,2,Education,Hop Adams,,704 Nisl Road,Sun Valley,NH,84458,TPCW,38
18,3,State/Local Government,Mullins Incorporation.,,4009 Ornare. Road,Birmingham,NE,59509,TPCW,39
19,1,Commercial,Meridian Resources Corporation,Dept #805,1977 Symbiotic Turnpike,Fall River,MA,02724,TPCW,40
21,2,Education,Haynes,,2920 Auctod Road,Moraga,AZ,70314,PEC,41
210,3,State/Local Government,Hammett Farley,,1668 In Street,Yonkers,AK,18651,PEC,42
211,1,Commercial,Austin Ferrell,,8666 Justo Road,Pullman,PA,55979,PEC,43
212,3,State/Local Government,Cain,,1116 Augue Street,Warwick,DC,38450,PEC,44
213,4,US Government,Knight,,765 Eget Avenue,Eureka,FL,57500,PEC,45
214,1,Commercial,Serrano,,7212 Eleifend. Street,Princeton,KY,66785,PEC,46
215,1,Commercial,Colton Maldonado,,1869 Leo. Road,Cedar Rapids,SD,97640,PEC,47
216,1,Commercial,Googol,,5453 Dictum. Avenue,Jenks,LA,96393,PEC,48
217,4,US Government,Mallory Lynch,,974 Nisl. Road,Washington,ME,15623,PEC,49
218,2,Education,Melvin House,,8371 Nullam Road,Isle of Palms,ME,89644,PEC,50
219,2,Education,Emerson Electric Company,,1792 Squash Drive,South Texarkana,TX,75501,PEC,51
22,3,State/Local Government,Rudyard-Knapp,,9261 Nulla Street,Sault Ste. Marie,LA,94298,PEC,52
220,1,Commercial,Pewter Gym,,9028 Non Street,Sandy,FL,87202,PEC,53
221,2,Education,Hop Adams,,704 Nisl Road,Sun Valley,NH,84458,PEC,54
222,2,Education,Xavier Harmon,,2285 Ante Street,Farmington,WV,16456,PEC,55
223,4,US Government,Cross,,112 In Road,Opelousas,GA,43882,PEC,56
224,4,US Government,Martinez Disposables,,5331 Nunc Avenue,Tucson,DC,79991,PEC,57
225,3,State/Local Government,Atkins,,4607 Risus. Road,Waukegan,NC,43147,PEC,58
226,4,US Government,Dakota Mills,,7442 Amet Avenue,Syracuse,DE,56656,PEC,59
227,1,Commercial,Clare Baird,,6152 Auctor Road,Wilson,MS,29338,PEC,60
228,2,Education,Schultz Learning,,8542 Quis Street,Spartanburg,ND,73217,PEC,61
229,1,Commercial,Blevins,,2571 Donec Avenue,Winooski,SD,65512,PEC,62
23,1,Commercial,Baxter May,,796-2366 Vel Avenue,Meriden,FL,58328,PEC,63
230,1,Commercial,Knox Reid,,500 Ed Avenue,Pass Christian,WY,35949,PEC,64
231,2,Education,Starfleet Academy,,3061 Donec Avenue,Canandaigua,UT,75963,PEC,65
232,1,Commercial,Ferengi Treasures,,716-6837 Vulputate Avenue,Paramount,NY,35644,PEC,66
233,1,Commercial,Tallulah,,3376 Aliquet. Street,Batavia,NM,50742,PEC,67
234,1,Commercial,The Product Company (West),,21 E Bullard Avenue,Fresno,CA,93710,PEC,68
235,4,US Government,Ann Lee,,3845 Nunc Road,Merizo,GA,10764,PEC,69
236,4,US Government,Kuame Barnes,,8757 Tincidunt. Road,Lahaina,RI,60529,PEC,70
